ontology,query
http://a.com/ontology,context
http://a.com/ontology,sensor
http://a.com/ontology,smart home
http://aemet.linkeddata.es/describevar.owl,measurement
http://aemet.linkeddata.es/localizacion.owl,location
http://aemet.linkeddata.es/ontology/aemet/aemet.owl,location
http://aemet.linkeddata.es/ontology/geografica.owl,location
http://cavoc.org/aao/ns/2,activity
http://cavoc.org/aao/ns/2,agriculture
http://childhealthservicemodels.eu/asthma,asthma
http://childhealthservicemodels.eu/asthma,health
http://cmusv/hsl,sensor
http://cmusv/hsl,smart home
http://cmusv/hsl,health
http://cobra.umbc.edu/ont/2004/05/ebiquity-actions,context
http://cobra.umbc.edu/ont/2004/05/ebiquity-actions,activity
http://cobra.umbc.edu/ont/2004/05/ebiquity-geo,context
http://cobra.umbc.edu/ont/2004/05/ebiquity-geo,location
http://cobra.umbc.edu/ont/2004/05/ebiquity-meetings,context
http://cobra.umbc.edu/ont/2004/05/ebiquity-meetings,activity
http://data.ordnancesurvey.co.uk/ontology/spatialrelations,location
http://doe-generated-ontology.com/OntoReaChir,health
http://ebiquity.umbc.edu/ontologies/cybersecurity/ids/v2.2/IDSOntology.owl,security
http://elite.polito.it/ontologies/dogont.owl,smart home
http://elite.polito.it/ontologies/poweront.owl,sensor
http://elite.polito.it/ontologies/poweront.owl,actuator
http://elite.polito.it/ontologies/poweront.owl,energy
http://faculty.kutztown.edu/frye/res/onto/reason/tridso_v1/attack.owl,security
http://faculty.kutztown.edu/frye/res/onto/reason/tridso_v1/complexAttack.owl,security
http://faculty.kutztown.edu/frye/res/onto/reason/tridso_v1/traffic.owl,security
http://geovocab.org/spatial,location
http://hxl.humanitarianresponse.info/ns/,environment
http://imash.leeds.ac.uk/ontologies/atu/GroundOntology.owl,location
http://imash.leeds.ac.uk/ontologies/atu/GroundOntology.owl,smart city
http://imash.leeds.ac.uk/ontologies/atu/PipeOntology.owl,smart city
http://imash.leeds.ac.uk/ontologies/atu/RoadOntology.owl,smart city
http://imash.leeds.ac.uk/ontologies/atu/RoadOntology.owl,transportation
http://inwatersense.uni-pr.edu/ontologies/inws-core.owl,environment
http://inwatersense.uni-pr.edu/ontologies/inws-core.owl,water
http://iot.linkeddata.es/def/core,internet of things
http://iot.linkeddata.es/def/core,web of things
http://iot.linkeddata.es/def/wot,internet of things
http://iot.linkeddata.es/def/wot,web of things
http://ipvs.uni-stuttgart.de/SitOPT/seint,sensor
http://itrc.ac.ir/ontologies/IncidentReportOntology,security
http://kmi.open.ac.uk/projects/smartproducts/ontologies/eads.owl,transportation
http://kmi.open.ac.uk/projects/smartproducts/ontologies/eads.owl,aircraft
http://kmi.open.ac.uk/projects/smartproducts/ontologies/fiat.owl,transportation
http://kmi.open.ac.uk/projects/smartproducts/ontologies/fiat.owl,vehicle
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl,food
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food_nutritions.owl,food
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food_taxonomy.owl,food
http://kmi.open.ac.uk/projects/smartproducts/ontologies/generic.owl,product
