"authorid","pubid","cites","cites_cleaned","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002"
"Ieh1dKwAAAAJ","2osOgNQ5qMEC",265,248,22,43,58,35,45,27,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46NU9sEAAAAJ","4DMP91E08xMC",39,38,5,12,7,2,1,8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trKFvMcAAAAJ","mVmsd5A6BfQC",16,13,2,3,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mr_v7qsAAAAJ","7PzlFSSx8tAC",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y0LlWxAAAAAJ","ULOm3_A8WrAC",19,10,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kkbdIV0AAAAJ","j3f4tGmQtD8C",36,34,5,3,2,5,4,2,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA
"42uM92QAAAAJ","d1gkVwhDpl0C",9,9,2,5,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R73gJDcAAAAJ","hkOj_22Ku90C",2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JoURnA4AAAAJ","u5HHmVD_uO8C",29,28,5,2,7,6,3,5,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JLNusZ8AAAAJ","NMxIlDl6LWMC",23,23,8,9,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dLaTXPAAAAAJ","d1gkVwhDpl0C",74,73,2,4,8,10,2,10,15,11,6,4,NA,NA,NA,NA,NA,NA,NA
"cz-hhPUAAAAJ","_FxGoFyzp5QC",24,22,1,7,4,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"y6QH48AAAAAJ","Wp0gIr-vW9MC",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p5oWQ0AAAAAJ","TesyEGJKHF4C",797,789,14,29,39,50,51,50,71,79,70,72,74,75,54,41,5,NA,NA
"p5oWQ0AAAAAJ","mgoTDWlsYNUC",1301,1290,21,53,57,73,76,68,108,100,114,123,123,116,125,69,46,6,NA
"F0JrXQIAAAAJ","N5tVd3kTz84C",38,28,9,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OCO9jOsAAAAJ","fPk4N6BV_jEC",14,14,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sw2GzugAAAAJ","eJXPG6dFmWUC",385,347,8,21,21,31,32,16,28,32,35,24,29,38,17,9,3,NA,NA
"EGzGRokAAAAJ","KlAtU1dfN6UC",129,129,22,31,20,20,18,9,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDFAXc8AAAAJ","FPJr55Dyh1AC",28,27,9,10,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDFAXc8AAAAJ","roLk4NBRz8UC",17,13,1,3,2,4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cMr49BsAAAAJ","TQgYirikUcIC",5,5,1,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fzOyGyYAAAAJ","_xSYboBqXhAC",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YhdlR68AAAAJ","3fE2CSJIrl8C",22,22,2,4,4,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6f84btIAAAAJ","d1gkVwhDpl0C",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yfVk114AAAAJ","0EnyYjriUFMC",72,63,22,34,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2T3H4ekAAAAJ","GFxP56DSvIMC",231,221,12,19,23,23,33,27,39,22,13,6,NA,NA,NA,NA,NA,NA,NA
"YPHIHq0AAAAJ","9yKSN-GCB0IC",115,109,14,29,23,17,18,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nY_OtxwAAAAJ","Zph67rFs4hoC",10,10,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WnWkNTsAAAAJ","QD3KBmkZPeQC",9,8,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5flqRd8AAAAJ","hFOr9nPyWt4C",11,11,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lq5D3Q0AAAAJ","2osOgNQ5qMEC",981,952,118,217,205,171,149,57,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6B2Z9vAAAAAJ","gVv57TyPmFsC",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stOA74sAAAAJ","l7t_Zn2s7bgC",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vO14BoYAAAAJ","2osOgNQ5qMEC",19,18,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fEZU6NwAAAAJ","1sJd4Hv_s6UC",22,21,5,8,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x4T5OfIAAAAJ","ns9cj8rnVeAC",9,9,2,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RtpjiGkAAAAJ","W7OEmFMy1HYC",11,4,7,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vpHFsV8AAAAJ","u5HHmVD_uO8C",12,12,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ye1p4W4AAAAJ","ufrVoPGSRksC",21,21,4,6,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42uM92QAAAAJ","4DMP91E08xMC",4,3,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xxBeKlIAAAAJ","OcBU2YAGkTUC",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1xzZr9wAAAAJ","KxtntwgDAa4C",65,62,24,26,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42uM92QAAAAJ","_Qo2XoVZTnwC",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oNQBZXcAAAAJ","j3f4tGmQtD8C",271,264,21,42,62,41,45,25,23,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"5YHZ4VQAAAAJ","cK4Rrx0J3m0C",10,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EAmKaEoAAAAJ","_FxGoFyzp5QC",32,22,13,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
