url,title,author,journal,number,cites,year,authorid,cid,pubid,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
"https://scholar.google.lu/scholar?cites=11403447187144621913&as_sdt=2005&sciodt=0,5&hl=de",Linkedgeodata: A core for a web of spatial open data,"C Stadler, J Lehmann, K Höffner, S Auer",Semantic Web,"3 (4), 333-354",265,2012,Ieh1dKwAAAAJ,1.14E+19,2osOgNQ5qMEC,23,43,59,37,51,30,19,1,,,,,,,,,
"https://scholar.google.lu/scholar?cites=9692556425218386615&as_sdt=2005&sciodt=0,5&hl=de",Osmonto-an ontology of openstreetmap tags,"M Codescu, G Horsinka, O Kutz, T Mossakowski, R Rau",State of the map Europe (SOTM-EU),2011,39,2011,46NU9sEAAAAJ,9.69E+18,4DMP91E08xMC,5,12,7,2,1,8,3,1,,,,,,,,,
"https://scholar.google.lu/scholar?cites=14446812833811607988&as_sdt=2005&sciodt=0,5&hl=de",The Humanitarian eXchange Language: Coordinating disaster response with semantic web technologies,"C Keßler, C Hendrix",Semantic Web,"6 (1), 5-21",16,2015,trKFvMcAAAAJ,1.44E+19,mVmsd5A6BfQC,2,3,4,6,1,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=3863196528966665494&as_sdt=2005&sciodt=0,5&hl=de",An Ontology-based Decision Support Framework for Personalized Quality of Life Recommendations,"M Riga, E Kontopoulos, K Karatzas, S Vrochidis, I Kompatsiaris",International Conference on Decision Support System Technology,38-51,1,2018,Mr_v7qsAAAAJ,3.86E+18,7PzlFSSx8tAC,1,,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=2690347878375480375&as_sdt=2005&sciodt=0,5&hl=de",An ontology framework for water quality management,"L Ahmedi, E Jajaga, F Ahmedi","In Corcho, O., Henson, C., and Barnaghi, P., editors, Proceedings of the",6thë__Ñ_,19,2013,Y0LlWxAAAAAJ,2.69E+18,ULOm3_A8WrAC,3,5,5,3,3,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=2858942846082443737&as_sdt=2005&sciodt=0,5&hl=de",Position paper on realizing smart products: Challenges for semantic web technologies,"M Sabou, J Kantorovitch, A Nikolov, A Tokmakoff, X Zhou, E Motta",CEUR workshop proceedings,"522, 135-147",36,2009,kkbdIV0AAAAJ,2.86E+18,j3f4tGmQtD8C,5,3,2,6,4,2,4,5,5,,,,,,,,
"https://scholar.google.lu/scholar?cites=11053735974103767342&as_sdt=2005&sciodt=0,5&hl=de",Food Product Ontology: Initial Implementation of a Vocabulary for Describing Food Products,"M Kolchin, D Zamula",,14th Conference of Open Association FRUCT,9,2013,42uM92QAAAAJ,1.11E+19,d1gkVwhDpl0C,2,5,0,1,1,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=6638826306320117584&as_sdt=2005&sciodt=0,5&hl=de",Selecting ontologies and publishing data of electrical appliances: A refrigerator example,"A Fensel, F Gasser, C Mayr, L Ott, C Sarigianni","OTM Confederated International Conferences"" On the Move to Meaningfulë__Ñ_",,2,2014,R73gJDcAAAAJ,6.64E+18,hkOj_22Ku90C,1,1,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=5574057287370919358&as_sdt=2005&sciodt=0,5&hl=de",Integrating ontological domain knowledge into a robotic DSL,"G Lortal, S Dhouib, S Gérard",International Conference on Model Driven Engineering Languages and Systemsë__Ñ_,,29,2010,JoURnA4AAAAJ,5.57E+18,u5HHmVD_uO8C,5,2,7,6,3,5,0,1,,,,,,,,,
"https://scholar.google.lu/scholar?cites=5472573442674655867&as_sdt=2005&sciodt=0,5&hl=de",Onyx: A linked data approach to emotion representation,"JF Sánchez-Rada, CA Iglesias",Information Processing & Management,"52 (1), 99-114",23,2016,JLNusZ8AAAAJ,5.47E+18,NMxIlDl6LWMC,8,9,5,1,,,,,,,,,,,,,
